symbol,trade_id,alert_date,level,level_type,dist_pct,alert_price,alert_vol,strike,expiry_date,days_to_expiry,straddle_cost,exit_date,exit_sv,exit_pnl,exit_pnl_pct,exit_reason,days_held,scale_factor,scaled_cost,scaled_exit,scaled_pnl
PETR4.SA,79,2026-05-13,44.53,support,0.09,44.57,0.0224,44.57,2026-06-19,37,0.4,2026-05-14,0.78,0.38,95.2,20% target,1,2500,1000,1950,950
PETR4.SA,80,2026-05-20,44.53,support,0.157,44.6,0.0174,44.6,2026-06-19,30,0.31,2026-05-21,0.63,0.32,102.89,20% target,1,3225.8064516129034,1000,2032.2580645161293,1032.2580645161293
VALE3.SA,1,2023-03-10,83.65,support,1.24,84.7,0.0164,84.7,2023-04-21,42,0.8,2023-03-13,1.07,0.28,35,20% target,3,1250,1000,1337.5,337.5
VALE3.SA,2,2023-05-16,66.71,support,1.375,67.64,0.021,67.64,2023-06-16,31,0.51,2023-05-17,2.68,2.17,422.34,20% target,1,1960.7843137254902,1000,5254.901960784314,4254.901960784314
VALE3.SA,3,2023-05-23,66.71,resistance,0.225,66.56,0.0209,66.56,2023-06-16,24,0.41,2023-05-24,1.18,0.76,185.97,20% target,1,2439.0243902439024,1000,2878.048780487805,1878.0487804878048
VALE3.SA,4,2023-06-05,66.71,support,0.994,67.38,0.0197,67.38,2023-07-21,46,0.71,2023-06-06,0.89,0.18,26.01,20% target,1,1408.4507042253522,1000,1253.5211267605634,253.52112676056345
VALE3.SA,5,2023-06-12,66.71,support,0.611,67.12,0.0194,67.12,2023-07-21,39,0.61,2023-06-13,1.27,0.66,108.92,20% target,1,1639.344262295082,1000,2081.967213114754,1081.967213114754
VALE3.SA,6,2023-06-20,66.71,support,1.331,67.61,0.0182,67.61,2023-07-21,31,0.49,2023-06-22,0.62,0.13,25.71,20% target,2,2040.8163265306123,1000,1265.3061224489795,265.3061224489795
VALE3.SA,7,2023-06-30,63.51,support,1.106,64.22,0.0171,64.22,2023-07-21,21,0.33,2023-07-03,2.65,2.32,706.06,20% target,3,3030.30303030303,1000,8030.303030303029,7030.303030303029
VALE3.SA,8,2023-07-03,66.71,resistance,0.725,66.23,0.0158,66.23,2023-08-18,46,0.67,2023-07-10,1.21,0.53,78.74,20% target,7,1492.5373134328358,1000,1805.9701492537313,805.9701492537313
VALE3.SA,9,2023-07-10,63.865,support,0.923,64.46,0.0153,64.46,2023-08-18,39,0.56,2023-07-11,2.65,2.09,373.78,20% target,1,1785.7142857142856,1000,4732.142857142857,3732.142857142857
VALE3.SA,10,2023-07-11,66.71,resistance,0.195,66.58,0.017,66.58,2023-08-18,38,0.57,2023-07-12,1.01,0.44,76.09,20% target,1,1754.3859649122808,1000,1771.9298245614036,771.9298245614036
VALE3.SA,11,2023-07-18,66.71,support,1.053,67.42,0.0165,67.42,2023-08-18,31,0.48,2023-07-21,0.79,0.31,65.43,20% target,3,2083.3333333333335,1000,1645.8333333333335,645.8333333333335
